nom_estab,latitud,longitud
DHL,25.69722348,-100.3554283
DHL,25.73081285,-100.2105375
DHL,25.63987276,-100.3617961
DHL,25.59135147,-100.0014615
DHL,25.64003647,-100.0879979
DHL,25.64793309,-100.2903893
DHL,25.70557454,-100.3509894
DHL,25.65599524,-100.263028
DHL,25.74466045,-100.4214377
DHL,25.6763579,-100.3525031
DHL,25.6793966,-100.3312544
DHL,25.70842151,-100.3737169
DHL EXPRESS,25.63845892,-100.2725957
"DHL EXPRESS MEXICO, S.A. DE C.V.",25.74066505,-100.3025184
DHL PAQUETERIA Y MENSAJERIA,25.69016591,-100.2534898
DHL PAQUETERIA Y MENSAJERIA,25.65360034,-100.3378294
"DHL, MENSAJERIA",25.66365472,-100.3817029
MENSAJERIA: DHL,25.61750228,-100.2789584
PAQUETERIA DHL,25.27977006,-100.0197046
PAQUETERIA DHL,25.67331609,-100.3467842
